Date,Close
9/28/2015,74.54
9/29/2015,74.99
9/30/2015,76.21
10/1/2015,76.3
10/2/2015,75.4
10/5/2015,77.28
10/6/2015,76.71
10/7/2015,77.78
10/8/2015,78.28
10/9/2015,78.08
10/12/2015,77.94
10/13/2015,77.15
10/14/2015,76.5
10/15/2015,78.39
10/16/2015,79.27
10/19/2015,79.21
10/20/2015,79.77
10/21/2015,79.36
10/22/2015,81.4
10/23/2015,82.48
10/26/2015,82.08
10/27/2015,80.51
10/28/2015,83.96
10/29/2015,83.41
10/30/2015,82.5
11/2/2015,84.17
11/3/2015,85.02
11/4/2015,84.42
11/5/2015,84.35
11/6/2015,87.69
11/9/2015,86.02
11/10/2015,86.32
11/11/2015,86.75
11/12/2015,84.69
11/13/2015,84.29
11/16/2015,85.65
11/17/2015,85.46
11/18/2015,87.38
11/19/2015,87.4
11/20/2015,86.53
11/23/2015,86.14
11/24/2015,85.92
11/25/2015,85.78
11/27/2015,86.28
11/30/2015,86.55
12/1/2015,87.49
12/2/2015,86.25
12/3/2015,84.53
12/4/2015,86.72
12/7/2015,86.09
12/8/2015,84.84
12/9/2015,84.08
12/10/2015,83.79
12/11/2015,80.69
12/14/2015,80.69
12/15/2015,83.06
12/16/2015,84.19
12/17/2015,81.85
12/18/2015,79.55
12/21/2015,80.05
12/22/2015,81.49
12/23/2015,82.96
12/24/2015,82.55
12/28/2015,82.45
12/29/2015,83.21
12/30/2015,82.17
12/31/2015,81.41
1/4/2016,79.84
1/5/2016,79.57
1/6/2016,76.92
1/7/2016,73.79
1/8/2016,73.05
1/11/2016,72.89
1/12/2016,73.12
1/13/2016,71.82
1/14/2016,72.07
1/15/2016,70.17
1/19/2016,69.29
1/20/2016,67.36
1/21/2016,68.13
1/22/2016,69.87
1/25/2016,67.88
1/26/2016,69.11
1/27/2016,68.51
1/28/2016,68.84
1/29/2016,70.08
2/1/2016,69.57
2/2/2016,67.23
2/3/2016,66.79
2/4/2016,66.98
2/5/2016,65.35
2/8/2016,63.33
2/9/2016,63.59
2/10/2016,64.06
2/11/2016,58
2/12/2016,61.64
2/16/2016,63.44
2/17/2016,66.6
2/18/2016,66.14
2/19/2016,65.36
2/22/2016,66.08
2/23/2016,64.59
2/24/2016,64.71
2/25/2016,66.07
2/26/2016,66.99
2/29/2016,66.09
3/1/2016,70.31
3/2/2016,70.76
3/3/2016,71.87
3/4/2016,71.47
3/7/2016,72.13
3/8/2016,70.31
3/9/2016,70.41
3/10/2016,70.56
3/11/2016,73.55
3/14/2016,73
3/15/2016,72.42
3/16/2016,72.56
3/17/2016,73.36
3/18/2016,74.94
3/21/2016,74.55
3/22/2016,74.12
3/23/2016,72.83
3/24/2016,70.76
3/28/2016,72.01
3/29/2016,71.52
3/30/2016,72.95
3/31/2016,72.22
4/1/2016,73.25
4/4/2016,72.28
4/5/2016,71.2
